max_Txn,1,2,3,4,5,6,7,8,9,10
1,1107.1345262013751,,,,,,,,,
2,1344.3078765231348,1604.7985003681433,,,,,,,,
3,1481.3234860981545,1937.9812116251217,2152.075010839489,,,,,,,
4,1577.2107722782819,2169.2470114981934,2634.809337370688,2829.2938768317704,,,,,,
5,1630.9845305808974,2306.742258267849,2926.097492989868,3422.8270786385956,3609.6221235358685,,,,,
6,1654.0667535989987,2351.570809685963,3117.404788052327,3795.981324664973,4315.940242724956,4520.997837993421,,,,
7,1701.802614098993,2421.6247547974413,3337.7411282843896,4156.96975382768,4911.12610779238,5404.5717090514645,5645.007713677607,,,
8,1851.1132544757033,2502.6793739130435,3360.3482443531825,4375.01879769299,5199.860977033865,6000.226912171508,6457.020588980367,6690.4648416691325,,
9,2111.5869303201507,3070.3629217391303,4102.375128593041,5227.463843085106,6098.384372842347,6792.23197979798,7479.613621474067,8084.332915282392,8328.54188034188,
10,2307.879640591966,3622.5817623762377,5252.9440071556355,6066.131085899514,7023.801386430679,7626.996084099868,8102.477362768496,8581.962217438106,9083.8242555332,9590.165587958607
