day,trade_7d,trade_14d,trade_91d,trade_182d,trade_365d,Proj_traded,Token_traded
2017-06-23,0.15,0.5,0.6,0.6,0.6,1,19
2017-06-24,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421,1,19
2017-06-25,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.5384615384615384,1,11
2017-06-26,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,1,17
2017-06-27,0.08571428571428572,0.11428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,34
2017-06-28,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,18
2017-06-29,0.14285714285714285,0.23809523809523808,0.3333333333333333,0.40476190476190477,0.47619047619047616,1,42
2017-06-30,0.0,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.17391304347826086,1,23
2017-07-01,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1,12
2017-07-02,0.16129032258064516,0.1935483870967742,0.2903225806451613,0.3225806451612903,0.3225806451612903,1,31
2017-07-03,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.11764705882352941,1,50
2017-07-04,0.03278688524590164,0.04918032786885246,0.04918032786885246,0.08196721311475409,0.08196721311475409,1,61
2017-07-05,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,1,18
2017-07-06,0.17391304347826086,0.17391304347826086,0.2608695652173913,0.2608695652173913,0.2608695652173913,1,23
2017-07-07,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,1,41
2017-07-08,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.16666666666666666,1,29
2017-07-09,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,1,17
2017-07-10,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.16129032258064516,1,30
2017-07-11,0.06818181818181818,0.11363636363636363,0.22727272727272727,0.2727272727272727,0.3181818181818182,1,44
2017-07-12,0.0,0.0,0.17647058823529413,0.29411764705882354,0.29411764705882354,1,17
