day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2017-06-23,19,19.0,0.0,19.0,,,,1.0,0.0
2017-06-24,19,19.0,0.0,38.0,19.0,1.0,0.0,1.0,0.0
2017-06-25,11,11.0,0.0,49.0,38.0,0.2894736842105263,0.0,1.0,0.0
2017-06-26,17,17.0,0.0,66.0,49.0,0.3469387755102041,0.0,1.0,0.0
2017-06-27,34,34.0,0.0,100.0,66.0,0.5151515151515151,0.0,1.0,0.0
2017-06-28,18,18.0,0.0,118.0,100.0,0.18,0.0,1.0,0.0
2017-06-29,42,38.0,4.0,156.0,118.0,0.3220338983050847,0.03389830508474576,0.9047619047619048,0.09523809523809523
2017-06-30,23,15.0,8.0,171.0,156.0,0.09615384615384616,0.05128205128205128,0.6521739130434783,0.34782608695652173
2017-07-01,12,8.0,4.0,179.0,171.0,0.04678362573099415,0.023391812865497075,0.6666666666666666,0.3333333333333333
2017-07-02,31,30.0,1.0,209.0,179.0,0.16759776536312848,0.00558659217877095,0.967741935483871,0.03225806451612903
2017-07-03,50,45.0,5.0,254.0,209.0,0.215311004784689,0.023923444976076555,0.9,0.1
2017-07-04,61,54.0,7.0,308.0,254.0,0.2125984251968504,0.027559055118110236,0.8852459016393442,0.11475409836065574
2017-07-05,18,16.0,2.0,324.0,308.0,0.05194805194805195,0.006493506493506494,0.8888888888888888,0.1111111111111111
2017-07-06,23,21.0,2.0,345.0,324.0,0.06481481481481481,0.006172839506172839,0.9130434782608695,0.08695652173913043
2017-07-07,41,33.0,8.0,378.0,345.0,0.09565217391304348,0.02318840579710145,0.8048780487804879,0.1951219512195122
2017-07-08,29,22.0,7.0,400.0,378.0,0.0582010582010582,0.018518518518518517,0.7586206896551724,0.2413793103448276
2017-07-09,17,16.0,1.0,416.0,400.0,0.04,0.0025,0.9411764705882353,0.058823529411764705
2017-07-10,30,28.0,2.0,444.0,416.0,0.0673076923076923,0.004807692307692308,0.9333333333333333,0.06666666666666667
2017-07-11,44,38.0,6.0,482.0,444.0,0.08558558558558559,0.013513513513513514,0.8636363636363636,0.13636363636363635
2017-07-12,17,15.0,2.0,497.0,482.0,0.03112033195020747,0.004149377593360996,0.8823529411764706,0.11764705882352941
2017-07-13,29,25.0,4.0,522.0,497.0,0.05030181086519115,0.008048289738430584,0.8620689655172413,0.13793103448275862
2017-07-14,7,5.0,2.0,527.0,522.0,0.009578544061302681,0.0038314176245210726,0.7142857142857143,0.2857142857142857
2017-07-15,5,3.0,2.0,530.0,527.0,0.0056925996204933585,0.003795066413662239,0.6,0.4
2017-07-16,3,3.0,0.0,533.0,530.0,0.005660377358490566,0.0,1.0,0.0
2017-07-17,5,3.0,2.0,536.0,533.0,0.005628517823639775,0.00375234521575985,0.6,0.4
2017-07-18,30,30.0,0.0,566.0,536.0,0.055970149253731345,0.0,1.0,0.0
2017-07-19,31,27.0,4.0,593.0,566.0,0.04770318021201413,0.007067137809187279,0.8709677419354839,0.12903225806451613
2017-07-20,21,14.0,7.0,607.0,593.0,0.023608768971332208,0.011804384485666104,0.6666666666666666,0.3333333333333333
2017-07-21,21,21.0,0.0,628.0,607.0,0.03459637561779242,0.0,1.0,0.0
2017-07-22,12,11.0,1.0,639.0,628.0,0.01751592356687898,0.0015923566878980893,0.9166666666666666,0.08333333333333333
2017-07-23,6,5.0,1.0,644.0,639.0,0.00782472613458529,0.001564945226917058,0.8333333333333334,0.16666666666666666
2017-07-24,15,14.0,1.0,658.0,644.0,0.021739130434782608,0.0015527950310559005,0.9333333333333333,0.06666666666666667
2017-07-25,8,6.0,2.0,664.0,658.0,0.00911854103343465,0.00303951367781155,0.75,0.25
2017-07-26,5,4.0,1.0,668.0,664.0,0.006024096385542169,0.0015060240963855422,0.8,0.2
